max_depth, n_estimators, accuracy
34, 300, 0.9340801215112966
34, 400, 0.932333396620467
34, 500, 0.9349534839567115
34, 600, 0.9345168027340041
34, 700, 0.9345168027340041
34, 800, 0.9336434402885893
34, 900, 0.9345168027340041
35, 100, 0.9292823239035503
35, 200, 0.9323314980064552
35, 300, 0.9318967153977595
35, 400, 0.9327700778431744
35, 500, 0.9327700778431744
35, 600, 0.9327700778431744
35, 700, 0.9336434402885893
35, 800, 0.9336434402885893
35, 900, 0.9340801215112966
36, 100, 0.9297171065122459
36, 200, 0.9336396430605657
36, 300, 0.932333396620467
36, 400, 0.9332067590658818
36, 500, 0.9336434402885893
36, 600, 0.9332067590658818
36, 700, 0.9336434402885893
36, 800, 0.9336434402885893
36, 900, 0.9340801215112966
37, 100, 0.9310252515663567
37, 200, 0.9314562369470286
37, 300, 0.9305866717296374
37, 400, 0.9318967153977595
37, 500, 0.932333396620467
37, 600, 0.932333396620467
37, 700, 0.9332067590658818
37, 800, 0.9332067590658818
37, 900, 0.9332067590658818
38, 100, 0.9292804252895387
38, 200, 0.9323314980064552
38, 300, 0.9318967153977595
38, 400, 0.9332067590658818
38, 500, 0.9332067590658818
38, 600, 0.9336434402885893
38, 700, 0.9340801215112966
38, 800, 0.9340801215112966
38, 900, 0.9332067590658818
39, 100, 0.9305904689576607
39, 200, 0.9323314980064552
39, 300, 0.9310233529523447
39, 400, 0.9332067590658818
39, 500, 0.932333396620467
39, 600, 0.9332067590658818
39, 700, 0.9340801215112966
39, 800, 0.9340801215112966
39, 900, 0.9332067590658818
40, 100, 0.9305904689576607
40, 200, 0.9323295993924434
40, 300, 0.9332067590658818
40, 400, 0.9327700778431744
40, 500, 0.9336434402885893
40, 600, 0.9332067590658818
40, 700, 0.9340801215112966
40, 800, 0.9340801215112966
40, 900, 0.9332067590658818
41, 100, 0.9297171065122459
41, 200, 0.9323295993924434
41, 300, 0.9327700778431744
41, 400, 0.9327700778431744
41, 500, 0.9332067590658818
41, 600, 0.9340801215112966
41, 700, 0.9340801215112966
41, 800, 0.9332067590658818
41, 900, 0.9332067590658818
42, 100, 0.9297171065122459
42, 200, 0.9318948167837477
42, 300, 0.9327700778431744
42, 400, 0.9327700778431744
42, 500, 0.9327700778431744
42, 600, 0.9340801215112966
42, 700, 0.9340801215112966
42, 800, 0.9336434402885893
42, 900, 0.9332067590658818
43, 100, 0.9301537877349535
43, 200, 0.9314562369470286
43, 300, 0.932333396620467
43, 400, 0.932333396620467
43, 500, 0.9332067590658818
43, 600, 0.9340801215112966
43, 700, 0.9340801215112966
43, 800, 0.9336434402885893
43, 900, 0.9332067590658818
44, 100, 0.9301537877349535
44, 200, 0.9314581355610404
44, 300, 0.9327700778431744
44, 400, 0.932333396620467
44, 500, 0.9332067590658818
44, 600, 0.9340801215112966
44, 700, 0.9336434402885893
44, 800, 0.9336434402885893
44, 900, 0.9332067590658818
45, 100, 0.9301537877349535
45, 200, 0.9314581355610404
45, 300, 0.9327700778431744
45, 400, 0.932333396620467
45, 500, 0.9327700778431744
45, 600, 0.9340801215112966
45, 700, 0.9340801215112966
45, 800, 0.9332067590658818
45, 900, 0.9332067590658818
46, 100, 0.9301537877349535
46, 200, 0.931892918169736
46, 300, 0.9327700778431744
46, 400, 0.932333396620467
46, 500, 0.9332067590658818
46, 600, 0.9336434402885893
46, 700, 0.9336434402885893
46, 800, 0.9336434402885893
46, 900, 0.9332067590658818
47, 100, 0.9301537877349535
47, 200, 0.931892918169736
47, 300, 0.9327700778431744
47, 400, 0.932333396620467
47, 500, 0.9332067590658818
47, 600, 0.9340801215112966
47, 700, 0.9340801215112966
47, 800, 0.9336434402885893
47, 900, 0.9332067590658818
48, 100, 0.9301537877349535
48, 200, 0.931892918169736
48, 300, 0.9327700778431744
48, 400, 0.932333396620467
48, 500, 0.9332067590658818
48, 600, 0.9340801215112966
48, 700, 0.9340801215112966
48, 800, 0.9336434402885893
48, 900, 0.9332067590658818
49, 100, 0.9301537877349535
49, 200, 0.931892918169736
49, 300, 0.9327700778431744
49, 400, 0.932333396620467
49, 500, 0.9332067590658818
49, 600, 0.9340801215112966
49, 700, 0.9336434402885893
49, 800, 0.9336434402885893
49, 900, 0.9332067590658818
50, 100, 0.9301537877349535
50, 200, 0.931892918169736
50, 300, 0.9327700778431744
50, 400, 0.932333396620467
50, 500, 0.9332067590658818
50, 600, 0.9340801215112966
50, 700, 0.9340801215112966
50, 800, 0.9336434402885893
50, 900, 0.9332067590658818
51, 100, 0.9301537877349535
51, 200, 0.931892918169736
51, 300, 0.9327700778431744
51, 400, 0.932333396620467
51, 500, 0.9332067590658818
51, 600, 0.9340801215112966
51, 700, 0.9340801215112966
51, 800, 0.9336434402885893
51, 900, 0.9332067590658818
52, 100, 0.9301537877349535
52, 200, 0.931892918169736
52, 300, 0.9327700778431744
52, 400, 0.932333396620467
52, 500, 0.9332067590658818
52, 600, 0.9340801215112966
52, 700, 0.9340801215112966
52, 800, 0.9336434402885893
52, 900, 0.9332067590658818
53, 100, 0.9301537877349535
53, 200, 0.931892918169736
53, 300, 0.9327700778431744
53, 400, 0.932333396620467
53, 500, 0.9332067590658818
53, 600, 0.9340801215112966
53, 700, 0.9340801215112966
53, 800, 0.9336434402885893
53, 900, 0.9332067590658818
54, 100, 0.9301537877349535
54, 200, 0.931892918169736
54, 300, 0.9327700778431744
54, 400, 0.932333396620467
54, 500, 0.9332067590658818
54, 600, 0.9340801215112966
54, 700, 0.9340801215112966
54, 800, 0.9336434402885893
54, 900, 0.9332067590658818
55, 100, 0.9301537877349535
55, 200, 0.931892918169736
55, 300, 0.9327700778431744
55, 400, 0.932333396620467
55, 500, 0.9332067590658818
55, 600, 0.9340801215112966
55, 700, 0.9340801215112966
55, 800, 0.9336434402885893
55, 900, 0.9332067590658818
56, 100, 0.9301537877349535
56, 200, 0.931892918169736
56, 300, 0.9327700778431744
56, 400, 0.932333396620467
56, 500, 0.9332067590658818
56, 600, 0.9340801215112966
56, 700, 0.9340801215112966
56, 800, 0.9336434402885893
56, 900, 0.9332067590658818
57, 100, 0.9301537877349535
57, 200, 0.931892918169736
57, 300, 0.9327700778431744
57, 400, 0.932333396620467
57, 500, 0.9332067590658818
57, 600, 0.9340801215112966
57, 700, 0.9340801215112966
57, 800, 0.9336434402885893
57, 900, 0.9332067590658818
58, 100, 0.9301537877349535
58, 200, 0.931892918169736
58, 300, 0.9327700778431744
58, 400, 0.932333396620467
58, 500, 0.9332067590658818
58, 600, 0.9340801215112966
58, 700, 0.9340801215112966
58, 800, 0.9336434402885893
58, 900, 0.9332067590658818
59, 100, 0.9301537877349535
59, 200, 0.931892918169736
59, 300, 0.9327700778431744
59, 400, 0.932333396620467
59, 500, 0.9332067590658818
59, 600, 0.9340801215112966
59, 700, 0.9340801215112966
59, 800, 0.9336434402885893
59, 900, 0.9332067590658818
60, 100, 0.9301537877349535
60, 200, 0.931892918169736
60, 300, 0.9327700778431744
60, 400, 0.932333396620467
60, 500, 0.9332067590658818
60, 600, 0.9340801215112966
60, 700, 0.9340801215112966
60, 800, 0.9336434402885893
60, 900, 0.9332067590658818
61, 100, 0.9301537877349535
61, 200, 0.931892918169736
61, 300, 0.9327700778431744
61, 400, 0.932333396620467
61, 500, 0.9332067590658818
61, 600, 0.9340801215112966
61, 700, 0.9340801215112966
61, 800, 0.9336434402885893
61, 900, 0.9332067590658818
62, 100, 0.9301537877349535
62, 200, 0.931892918169736
62, 300, 0.9327700778431744
62, 400, 0.932333396620467
62, 500, 0.9332067590658818
62, 600, 0.9340801215112966
62, 700, 0.9340801215112966
62, 800, 0.9336434402885893
62, 900, 0.9332067590658818
63, 100, 0.9301537877349535
63, 200, 0.931892918169736
63, 300, 0.9327700778431744
63, 400, 0.932333396620467
63, 500, 0.9332067590658818
63, 600, 0.9340801215112966
63, 700, 0.9340801215112966
63, 800, 0.9336434402885893
63, 900, 0.9332067590658818
64, 100, 0.9301537877349535
64, 200, 0.931892918169736
64, 300, 0.9327700778431744
64, 400, 0.932333396620467
64, 500, 0.9332067590658818
64, 600, 0.9340801215112966
64, 700, 0.9340801215112966
64, 800, 0.9336434402885893
64, 900, 0.9332067590658818
65, 100, 0.9301537877349535
65, 200, 0.931892918169736
65, 300, 0.9327700778431744
65, 400, 0.932333396620467
65, 500, 0.9332067590658818
65, 600, 0.9340801215112966
65, 700, 0.9340801215112966
65, 800, 0.9336434402885893
65, 900, 0.9332067590658818
66, 100, 0.9301537877349535
66, 200, 0.931892918169736
66, 300, 0.9327700778431744
66, 400, 0.932333396620467
66, 500, 0.9332067590658818
66, 600, 0.9340801215112966
66, 700, 0.9340801215112966
66, 800, 0.9336434402885893
66, 900, 0.9332067590658818
67, 100, 0.9301537877349535
67, 200, 0.931892918169736
67, 300, 0.9327700778431744
67, 400, 0.932333396620467
67, 500, 0.9332067590658818
67, 600, 0.9340801215112966
67, 700, 0.9340801215112966
67, 800, 0.9336434402885893
67, 900, 0.9332067590658818
68, 100, 0.9301537877349535
68, 200, 0.931892918169736
68, 300, 0.9327700778431744
68, 400, 0.932333396620467
68, 500, 0.9332067590658818
